  63  | Timestamp: 0.614977  | Thread: Render|   IShader::SendToGpuSingleShaderSource => shaderId =   19
  64  | Timestamp: 0.616891  | Thread: Render|   IShader::AccessAllUniformLocations => shaderProgramId =   20
  65  | Timestamp: 0.617030  | Thread: Render|   IShader::ctor => shaderName =   FontRendering Shader
  66  | Timestamp: 0.617095  | Thread: Render|   IShader::SendToGpuSingleShaderSource => shaderId =   21
  67  | Timestamp: 0.617102  | Thread: Render|   IShader::SendToGpuSingleShaderSource => shaderId =   22
  68  | Timestamp: 0.617440  | Thread: Render|   IShader::AccessAllUniformLocations => shaderProgramId =   23
  69  | Timestamp: 0.617875  | Thread: Render|   Level::PreLevelInit
  70  | Timestamp: 0.617886  | Thread: Render|   Scene::OnLevelInit
  71  | Timestamp: 0.617893  | Thread: Render|   Level::InitLevel
  72  | Timestamp: 0.618485  | Thread: Render|   FolderManager::GetDirectoryRelativePathByFileName => file:   arrow_right_1.png
  73  | Timestamp: 0.618696  | Thread: Render|   ResourceMap::AllocateAsync => resource type:   1  , file:   /home/dzinoviev/MyProjects/phengine/PHEngine/build/GalaxyDefense/res/texture/ui/arrow_right_1.png
  74  | Timestamp: 0.618709  | Thread: Render|   FolderManager::GetDirectoryRelativePathByFileName => file:   nimbus_mono.png
  75  | Timestamp: 0.618831  | Thread: Render|   ResourceMap::AllocateAsync => resource type:   1  , file:   /home/dzinoviev/MyProjects/phengine/PHEngine/build/GalaxyDefense/res/fonts/nimbus_mono.png
  76  | Timestamp: 0.618841  | Thread: Render|   FolderManager::GetDirectoryRelativePathByFileName => file:   nightRight.jpg
  77  | Timestamp: 0.619026  | Thread: Render|   ResourceMap::AllocateAsync => resource type:   1  , file:   /home/dzinoviev/MyProjects/phengine/PHEngine/build/GalaxyDefense/res/texture/cubemap/nightRight.jpg
  78  | Timestamp: 0.619041  | Thread: Render|   FolderManager::GetDirectoryRelativePathByFileName => file:   nightLeft.jpg
